지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),현지기압(hPa)
108,서울,2020-04-03 18:00,12.9,,4.8,270,36,1008.8
108,서울,2020-04-03 19:00,11.4,,4.1,270,44,1009
108,서울,2020-04-03 20:00,10.4,,3.4,250,47,1009.1
108,서울,2020-04-03 21:00,9.6,,2.1,250,49,1009.2
108,서울,2020-04-03 22:00,8.9,,2,230,59,1009.2
108,서울,2020-04-03 23:00,8.3,,3.2,250,64,1008.8
108,서울,2020-04-04 00:00,7.9,,2.5,250,70,1008.3
108,서울,2020-04-04 01:00,7.6,,2.6,270,74,1008.7
108,서울,2020-04-04 02:00,7.4,,2.5,250,77,1008.2
108,서울,2020-04-04 03:00,7.4,,2.6,250,80,1007.5
108,서울,2020-04-04 04:00,7.3,,2.6,230,80,1006.7
108,서울,2020-04-04 05:00,7.1,,2.4,250,80,1006.8
108,서울,2020-04-04 06:00,6.9,,2.2,250,84,1006.6
108,서울,2020-04-04 07:00,7,,1.3,250,83,1007
108,서울,2020-04-04 08:00,7.7,,1.7,270,80,1007.8
108,서울,2020-04-04 09:00,8.5,,3.8,320,53,1008.2
108,서울,2020-04-04 10:00,9.9,,4.1,290,27,1008.4
108,서울,2020-04-04 11:00,10.9,,3.6,320,21,1008.3
108,서울,2020-04-04 12:00,11.6,,5,320,16,1008.1
108,서울,2020-04-04 13:00,12.2,,5.3,290,15,1007.8
108,서울,2020-04-04 14:00,12.5,,5.9,270,14,1007.6
108,서울,2020-04-04 15:00,13,,4.3,290,13,1007.4
108,서울,2020-04-04 16:00,12.1,,6.1,290,12,1007.6
108,서울,2020-04-04 17:00,11.7,,5.9,290,11,1007.6
108,서울,2020-04-04 18:00,10.7,,5.6,290,12,1008.1
108,서울,2020-04-04 19:00,9.3,,2.9,290,13,1008.8
108,서울,2020-04-04 20:00,8.4,,2.7,340,13,1010.1
108,서울,2020-04-04 21:00,7.8,,3.9,340,13,1010.7
108,서울,2020-04-04 22:00,6.9,,2.9,320,16,1011.2
108,서울,2020-04-04 23:00,6.1,,2.2,340,19,1011.5
108,서울,2020-04-05 00:00,5,,.9,230,20,1011.8
108,서울,2020-04-05 01:00,4.2,,1.5,290,23,1012
108,서울,2020-04-05 02:00,4.1,,2.9,320,23,1012
108,서울,2020-04-05 03:00,3.3,,1.2,320,22,1011.8
108,서울,2020-04-05 04:00,3.4,,2,320,21,1011.9
108,서울,2020-04-05 05:00,2.9,,4.4,340,22,1012.2
108,서울,2020-04-05 06:00,2,,1.6,290,24,1012.5
108,서울,2020-04-05 07:00,1.9,,2.8,290,25,1012.8
108,서울,2020-04-05 08:00,3.3,,3.6,320,19,1013
108,서울,2020-04-05 09:00,4.8,,3.3,290,17,1013.1
108,서울,2020-04-05 10:00,6.4,,4.2,320,15,1013
108,서울,2020-04-05 11:00,8.5,,2.7,270,14,1012.8
108,서울,2020-04-05 12:00,9.9,,3.1,270,14,1012.3
108,서울,2020-04-05 13:00,10.8,,4,270,14,1011.7
108,서울,2020-04-05 14:00,12.2,,3.7,270,13,1011.2
108,서울,2020-04-05 15:00,12.6,,3.3,320,14,1010.5
108,서울,2020-04-05 16:00,13.5,,3,270,16,1010
108,서울,2020-04-05 17:00,11.9,,4.8,230,29,1010.1
108,서울,2020-04-05 18:00,11.5,,2.7,250,27,1010.2
108,서울,2020-04-05 19:00,9.4,,3.6,250,38,1010.4
108,서울,2020-04-05 20:00,8.4,,3.5,230,48,1010.8
108,서울,2020-04-05 21:00,7.4,,1.9,270,57,1011.6
108,서울,2020-04-05 22:00,6.7,,.6,140,60,1012
108,서울,2020-04-05 23:00,6.1,,2.3,290,63,1011.8
108,서울,2020-04-06 00:00,5.9,,.8,270,61,1012.1
108,서울,2020-04-06 01:00,5.6,,1.2,270,60,1012.2
108,서울,2020-04-06 02:00,5.1,,1.1,290,54,1012
108,서울,2020-04-06 03:00,4.7,,1.8,290,49,1011.8
108,서울,2020-04-06 04:00,4.2,,1,320,52,1011.6
108,서울,2020-04-06 05:00,3.4,,0,0,48,1011.6
108,서울,2020-04-06 06:00,3,,0,0,50,1011.8
108,서울,2020-04-06 07:00,3.1,,1.3,50,52,1012
108,서울,2020-04-06 08:00,4.9,,1.8,20,56,1012
108,서울,2020-04-06 09:00,7.9,,1.5,90,47,1011.9
108,서울,2020-04-06 10:00,10.5,,1.4,90,37,1011.7
108,서울,2020-04-06 11:00,12.6,,2.4,270,28,1011.4
108,서울,2020-04-06 12:00,14.2,,3.1,200,25,1010.7
108,서울,2020-04-06 13:00,15.3,,2.5,270,22,1010
108,서울,2020-04-06 14:00,15.8,,3.9,270,23,1009.3
108,서울,2020-04-06 15:00,15.4,,4.6,250,21,1008.4
108,서울,2020-04-06 16:00,14.7,,3.8,230,22,1008
108,서울,2020-04-06 17:00,13.3,,4,290,23,1007.6
108,서울,2020-04-06 18:00,11.8,,4.5,290,23,1007.6
108,서울,2020-04-06 19:00,10.4,,5.7,290,27,1007.6
108,서울,2020-04-06 20:00,9.6,,3,290,32,1008.3
108,서울,2020-04-06 21:00,9.3,,2.3,270,35,1009
108,서울,2020-04-06 22:00,9,,2.5,290,39,1009
108,서울,2020-04-06 23:00,8.5,,3.1,290,45,1008.9
108,서울,2020-04-07 00:00,8.1,,2.7,290,56,1008.8
108,서울,2020-04-07 01:00,7.7,,1.5,290,65,1008.1
108,서울,2020-04-07 02:00,7.3,,1.1,320,70,1007.3
108,서울,2020-04-07 03:00,6.7,,.7,320,75,1007.2
108,서울,2020-04-07 04:00,6.3,,.9,320,77,1006.9
108,서울,2020-04-07 05:00,6.1,,.6,290,79,1006.6
108,서울,2020-04-07 06:00,7,,2.7,200,80,1006.6
108,서울,2020-04-07 07:00,7.1,,1.3,200,79,1006.4
108,서울,2020-04-07 08:00,7.6,,2.6,230,77,1006.6
108,서울,2020-04-07 09:00,8.5,,1.5,250,74,1006.7
108,서울,2020-04-07 10:00,10.5,,2.2,180,65,1006.5
108,서울,2020-04-07 11:00,12.5,,2.4,230,56,1006.3
108,서울,2020-04-07 12:00,14.4,,2.5,200,48,1005.6
108,서울,2020-04-07 13:00,16,,2.8,230,43,1004.7
108,서울,2020-04-07 14:00,16.6,,3.6,250,41,1004.3
108,서울,2020-04-07 15:00,16.6,,3.6,270,43,1003.8
108,서울,2020-04-07 16:00,16.2,,3.5,250,38,1003.5
108,서울,2020-04-07 17:00,15.3,,4.5,270,40,1003
108,서울,2020-04-07 18:00,13.9,,4.7,270,46,1003.1
108,서울,2020-04-07 19:00,11.9,,3.4,270,59,1003.3
108,서울,2020-04-07 20:00,10.7,,3.7,270,55,1003.7
108,서울,2020-04-07 21:00,9.7,,2.4,270,54,1004.5
108,서울,2020-04-07 22:00,9.1,,2.5,270,51,1004.9
108,서울,2020-04-07 23:00,8.3,,2.2,290,47,1005
108,서울,2020-04-08 00:00,8.1,,2.6,320,33,1005.2
108,서울,2020-04-08 01:00,7.7,,2.6,320,31,1005.4
108,서울,2020-04-08 02:00,7.1,,2.6,290,34,1005.5
108,서울,2020-04-08 03:00,6.7,,2.8,320,34,1005.6
108,서울,2020-04-08 04:00,6.3,,1.9,320,38,1005.6
108,서울,2020-04-08 05:00,5.3,,2.1,290,41,1005.8
108,서울,2020-04-08 06:00,5.4,,2.6,320,42,1006.1
108,서울,2020-04-08 07:00,5.4,,2.8,290,42,1006.7
108,서울,2020-04-08 08:00,6.6,,4.7,340,30,1007.3
108,서울,2020-04-08 09:00,7.9,,4,340,26,1007.8
108,서울,2020-04-08 10:00,9.6,,4.6,290,16,1008.4
108,서울,2020-04-08 11:00,10.7,,5.4,320,15,1008.4
108,서울,2020-04-08 12:00,11.3,,4.7,340,14,1008
108,서울,2020-04-08 13:00,12.5,,3.9,290,14,1007.6
108,서울,2020-04-08 14:00,13.2,,4.3,340,13,1007.2
108,서울,2020-04-08 15:00,13.8,,3.7,290,13,1007
108,서울,2020-04-08 16:00,14.1,,3.9,250,14,1006.8
108,서울,2020-04-08 17:00,13.9,,4.1,270,16,1006.8
108,서울,2020-04-08 18:00,13.1,,2.8,320,16,1007.2
108,서울,2020-04-08 19:00,11.6,,3.6,320,20,1007.8
108,서울,2020-04-08 20:00,10.5,,2.8,290,23,1008.8
108,서울,2020-04-08 21:00,9.6,,3.5,290,27,1009.7
108,서울,2020-04-08 22:00,8.8,,3.3,290,29,1010.3
108,서울,2020-04-08 23:00,8.1,,3.1,290,31,1010.5
108,서울,2020-04-09 00:00,7.6,,3,270,32,1010.6
108,서울,2020-04-09 01:00,7.1,,2.3,320,32,1010.6
108,서울,2020-04-09 02:00,6.5,,3.4,340,34,1010.4
108,서울,2020-04-09 03:00,5.7,,.9,320,38,1010.3
108,서울,2020-04-09 04:00,5.2,,1.8,270,40,1010.3
108,서울,2020-04-09 05:00,4.6,,1.1,270,44,1010.5
108,서울,2020-04-09 06:00,4.4,,.7,270,47,1010.8
108,서울,2020-04-09 07:00,4.7,,2.1,290,50,1011.5
108,서울,2020-04-09 08:00,6,,2.8,320,45,1011.9
108,서울,2020-04-09 09:00,7,,3.8,320,41,1012
108,서울,2020-04-09 10:00,9,,3.4,320,40,1012.2
108,서울,2020-04-09 11:00,10,,4,320,37,1012
108,서울,2020-04-09 12:00,11.4,,3.5,320,34,1011.3
108,서울,2020-04-09 13:00,13,,4.2,290,30,1010.7
108,서울,2020-04-09 14:00,13.9,,4.4,320,31,1010.5
108,서울,2020-04-09 15:00,14.2,,4.8,270,35,1010.2
108,서울,2020-04-09 16:00,13.8,,4.2,270,39,1010.2
108,서울,2020-04-09 17:00,13,,4.7,270,42,1010.3
108,서울,2020-04-09 18:00,12.1,,3.6,250,41,1010.7
108,서울,2020-04-09 19:00,10.7,,3.3,270,42,1011.1
108,서울,2020-04-09 20:00,9.7,,2.7,270,46,1012.1
108,서울,2020-04-09 21:00,9,,2,270,55,1012.9
108,서울,2020-04-09 22:00,8.6,,2.5,230,62,1013.4
108,서울,2020-04-09 23:00,7.9,,1,140,64,1014
108,서울,2020-04-10 00:00,7.5,,1.6,180,66,1014.1
108,서울,2020-04-10 01:00,7.5,,2.3,180,63,1014.3
108,서울,2020-04-10 02:00,7.1,,2.1,160,64,1014
108,서울,2020-04-10 03:00,6.8,,1.9,140,66,1014.3
108,서울,2020-04-10 04:00,6.4,,2.2,160,68,1014.6
108,서울,2020-04-10 05:00,5.9,,2.4,70,68,1014.7
108,서울,2020-04-10 06:00,5.9,,3.1,90,66,1015
108,서울,2020-04-10 07:00,6,,2.6,70,67,1015.4
108,서울,2020-04-10 08:00,7.9,,2.2,90,61,1015.4
108,서울,2020-04-10 09:00,10.5,,2.1,110,54,1015.9
108,서울,2020-04-10 10:00,12.3,,1.9,160,48,1015.9
108,서울,2020-04-10 11:00,13.8,,2.6,110,43,1015.4
108,서울,2020-04-10 12:00,14,,2.5,250,41,1014.6
108,서울,2020-04-10 13:00,15.1,,1.6,230,36,1013.5
108,서울,2020-04-10 14:00,15.4,,2.9,230,37,1013.2
108,서울,2020-04-10 15:00,16.1,,2.8,290,34,1012.4
108,서울,2020-04-10 16:00,16.3,,3.9,250,37,1012.1
108,서울,2020-04-10 17:00,15.2,,3.2,320,41,1012.4
108,서울,2020-04-10 18:00,13.2,,3.5,290,44,1012.6
108,서울,2020-04-10 19:00,11.8,,3.6,290,45,1013.1
108,서울,2020-04-10 20:00,10.9,,2.6,290,45,1013.4
108,서울,2020-04-10 21:00,10.5,,1.7,290,49,1013.7
108,서울,2020-04-10 22:00,10,,1.7,290,56,1013.5
108,서울,2020-04-10 23:00,9.3,,2.4,290,65,1013.6
108,서울,2020-04-11 00:00,8.8,,2.2,290,67,1013.6
108,서울,2020-04-11 01:00,8.3,,1.8,290,69,1013.2
108,서울,2020-04-11 02:00,8,,1.9,290,72,1012.9
108,서울,2020-04-11 03:00,7.5,,1.9,200,72,1012.5
108,서울,2020-04-11 04:00,7.1,,1.9,250,74,1012.1
108,서울,2020-04-11 05:00,6.7,,1.5,290,79,1012.1
108,서울,2020-04-11 06:00,6.4,,1.9,270,83,1012.1
108,서울,2020-04-11 07:00,6.3,,1.2,290,83,1012.2
108,서울,2020-04-11 08:00,7.1,,1.5,200,82,1012
108,서울,2020-04-11 09:00,8.7,,1.9,230,74,1011.7
108,서울,2020-04-11 10:00,10.6,,2.3,200,63,1011.6
108,서울,2020-04-11 11:00,11.9,,3.6,230,57,1011
108,서울,2020-04-11 12:00,13.2,,2.1,290,49,1010
108,서울,2020-04-11 13:00,14.5,,2.9,230,46,1008.9
108,서울,2020-04-11 14:00,15.1,,2.9,290,42,1007.8
108,서울,2020-04-11 15:00,15.2,,3.3,290,39,1007.1
108,서울,2020-04-11 16:00,14.8,,3.1,290,41,1006.8
108,서울,2020-04-11 17:00,13.2,,3.6,290,50,1006.5
108,서울,2020-04-11 18:00,12.4,,4.7,270,51,1006.5
108,서울,2020-04-11 19:00,10.4,,3.9,290,53,1006.7
108,서울,2020-04-11 20:00,9.4,,2.2,270,59,1006.8
108,서울,2020-04-11 21:00,8.7,,2.6,270,66,1007
108,서울,2020-04-11 22:00,8,,2.6,230,73,1007.1
108,서울,2020-04-11 23:00,7.3,,1.4,250,75,1006.5
108,서울,2020-04-12 00:00,6.9,,1.1,270,76,1006.2
108,서울,2020-04-12 01:00,6.5,,1.9,230,78,1005.8
108,서울,2020-04-12 02:00,6.2,,1.4,320,81,1005.3
108,서울,2020-04-12 03:00,5.8,,.3,0,83,1004.9
108,서울,2020-04-12 04:00,5.5,,.5,360,85,1004.2
108,서울,2020-04-12 05:00,4.9,,1.8,70,83,1004.3
108,서울,2020-04-12 06:00,4.5,,1.9,50,84,1004.2
108,서울,2020-04-12 07:00,4.7,,2.3,90,84,1004.4
108,서울,2020-04-12 08:00,7,,2.7,90,75,1004.6
108,서울,2020-04-12 09:00,10.1,,3.7,90,60,1004.6
108,서울,2020-04-12 10:00,13.1,,4,90,51,1004.4
108,서울,2020-04-12 11:00,13.6,,5.9,90,45,1004.2
108,서울,2020-04-12 12:00,14.6,,5.5,90,44,1004.2
108,서울,2020-04-12 13:00,14.3,,7.3,90,47,1004
108,서울,2020-04-12 14:00,15.1,,5.6,90,43,1003.7
108,서울,2020-04-12 15:00,14.4,,4.9,70,44,1003.4
108,서울,2020-04-12 16:00,14.7,,5,90,42,1003.1
108,서울,2020-04-12 17:00,14.6,,6.3,70,39,1003.1
108,서울,2020-04-12 18:00,13,,6,70,42,1003.6
108,서울,2020-04-12 19:00,11.6,,3.9,70,46,1004.1
108,서울,2020-04-12 20:00,10.6,,4.4,90,49,1004.8
108,서울,2020-04-12 21:00,9.6,,5.1,50,55,1005.5
108,서울,2020-04-12 22:00,8.4,,4.1,50,57,1005.6
108,서울,2020-04-12 23:00,7.5,,3.6,70,59,1005.3
108,서울,2020-04-13 00:00,7.1,,4.4,50,57,1005.1
108,서울,2020-04-13 01:00,6.3,,2.8,70,54,1005.2
108,서울,2020-04-13 02:00,5.7,,3.2,50,57,1004.6
108,서울,2020-04-13 03:00,5.8,,4.6,50,60,1004.3
108,서울,2020-04-13 04:00,5.3,,2.2,70,61,1003.7
108,서울,2020-04-13 05:00,4.9,,2.9,70,60,1003.4
108,서울,2020-04-13 06:00,4.4,,2.3,70,61,1004.1
108,서울,2020-04-13 07:00,4.8,,2.6,70,63,1004.4
108,서울,2020-04-13 08:00,6.4,,1.7,50,57,1004.4
108,서울,2020-04-13 09:00,9.7,,2.4,90,45,1004.6
108,서울,2020-04-13 10:00,12.1,,3.4,90,33,1004.5
108,서울,2020-04-13 11:00,14.1,,3,90,31,1004.3
108,서울,2020-04-13 12:00,16.2,,3.4,90,25,1003.5
108,서울,2020-04-13 13:00,17.4,,3.6,90,22,1003
108,서울,2020-04-13 14:00,18.3,,4,70,20,1002.7
108,서울,2020-04-13 15:00,19.7,,4.9,50,18,1002.4
108,서울,2020-04-13 16:00,20.3,,4.5,70,17,1002
108,서울,2020-04-13 17:00,19.6,,3.5,360,17,1002
108,서울,2020-04-13 18:00,18.9,,4.6,50,17,1002.4
108,서울,2020-04-13 19:00,17,,2.7,70,18,1002.8
108,서울,2020-04-13 20:00,14.8,,2.7,290,37,1003.7
108,서울,2020-04-13 21:00,13.4,,2.7,290,40,1004.6
108,서울,2020-04-13 22:00,12.4,,2.6,290,43,1005
108,서울,2020-04-13 23:00,11.8,,1.7,290,45,1005.3
108,서울,2020-04-14 00:00,11,,.6,320,49,1005.5
108,서울,2020-04-14 01:00,10.1,,1.5,290,54,1005.6
108,서울,2020-04-14 02:00,9.9,,1.5,320,60,1005.4
108,서울,2020-04-14 03:00,9.2,,.4,0,64,1005.6
108,서울,2020-04-14 04:00,8.5,,1.6,320,68,1005.9
108,서울,2020-04-14 05:00,8,,.7,320,73,1006.1
108,서울,2020-04-14 06:00,7.7,,.9,290,77,1006.6
108,서울,2020-04-14 07:00,7.8,,1,50,77,1007
108,서울,2020-04-14 08:00,9.6,,1,200,69,1007.3
108,서울,2020-04-14 09:00,11.7,,2.4,230,60,1007.5
108,서울,2020-04-14 10:00,13.7,,2.6,200,50,1007.7
108,서울,2020-04-14 11:00,15.8,,2.6,200,44,1007.4
108,서울,2020-04-14 12:00,16.8,,3.6,250,37,1006.8
108,서울,2020-04-14 13:00,18.4,,3,250,30,1006.2
108,서울,2020-04-14 14:00,19.6,,3.7,250,28,1005.8
108,서울,2020-04-14 15:00,18.9,,5,250,25,1005.4
108,서울,2020-04-14 16:00,18.9,,3.4,270,26,1005
108,서울,2020-04-14 17:00,17.9,,3.3,290,25,1004.8
108,서울,2020-04-14 18:00,16.5,,3.5,290,30,1005
108,서울,2020-04-14 19:00,14.5,,3,320,34,1005.3
108,서울,2020-04-14 20:00,13.2,,3.1,290,36,1006
108,서울,2020-04-14 21:00,12.4,,2.3,290,38,1006.4
108,서울,2020-04-14 22:00,11.7,,2.1,290,39,1006.6
108,서울,2020-04-14 23:00,11,,1.8,290,39,1006.6
108,서울,2020-04-15 00:00,10.4,,1.8,290,43,1006.7
108,서울,2020-04-15 01:00,10,,.9,320,48,1006.4
108,서울,2020-04-15 02:00,9.1,,.9,290,50,1006
108,서울,2020-04-15 03:00,8.5,,.5,290,54,1005.7
108,서울,2020-04-15 04:00,8,,0,0,54,1005.3
108,서울,2020-04-15 05:00,7.7,,.8,50,50,1005.1
108,서울,2020-04-15 06:00,7.3,,.9,50,50,1005.2
108,서울,2020-04-15 07:00,7.7,,1.3,50,52,1005.2
108,서울,2020-04-15 08:00,9.1,,.7,50,50,1005.4
108,서울,2020-04-15 09:00,11.9,,.8,140,47,1005.6
108,서울,2020-04-15 10:00,14.5,,2,250,39,1005.5
108,서울,2020-04-15 11:00,16.3,,2,270,34,1005.2
108,서울,2020-04-15 12:00,17.6,,3.6,290,32,1004.3
108,서울,2020-04-15 13:00,18.7,,3.4,290,29,1003.6
108,서울,2020-04-15 14:00,19.4,,2.7,320,28,1003.2
108,서울,2020-04-15 15:00,19.9,,3.7,290,27,1002.7
108,서울,2020-04-15 16:00,19.2,,4.7,290,32,1002.7
108,서울,2020-04-15 17:00,17.6,,5.4,290,29,1002.9
108,서울,2020-04-15 18:00,16,,4.4,270,30,1003
108,서울,2020-04-15 19:00,14.8,,3,270,33,1003.5
108,서울,2020-04-15 20:00,13.7,,2,290,35,1004
108,서울,2020-04-15 21:00,12.8,,1.2,250,34,1004.8
108,서울,2020-04-15 22:00,12.4,,1.9,290,38,1005.4
108,서울,2020-04-15 23:00,11.8,,1.3,320,42,1005.5
108,서울,2020-04-16 00:00,11.2,,1.8,290,44,1005.8
108,서울,2020-04-16 01:00,10.7,,1.1,270,46,1006.1
108,서울,2020-04-16 02:00,10.1,,.8,340,45,1006
108,서울,2020-04-16 03:00,9.6,,1.1,90,44,1005.9
108,서울,2020-04-16 04:00,8.9,,2.8,90,45,1006
108,서울,2020-04-16 05:00,9.3,,2.9,90,53,1006
108,서울,2020-04-16 06:00,9.5,,3.5,90,55,1006.5
108,서울,2020-04-16 07:00,10.1,,3.6,90,54,1007.2
108,서울,2020-04-16 08:00,12,,3.1,90,49,1007.5
108,서울,2020-04-16 09:00,14.3,,3.2,90,44,1008
108,서울,2020-04-16 10:00,16.5,,3.1,140,38,1008.4
108,서울,2020-04-16 11:00,18.4,,2.4,110,35,1008
108,서울,2020-04-16 12:00,20.4,,2,140,32,1007.5
108,서울,2020-04-16 13:00,21.6,,2.1,110,28,1006.3
108,서울,2020-04-16 14:00,23,,2,250,26,1005.7
108,서울,2020-04-16 15:00,23.2,,1.8,180,25,1004.8
108,서울,2020-04-16 16:00,23.5,,2.1,140,24,1004
108,서울,2020-04-16 17:00,23.1,,1.7,140,25,1003.6
108,서울,2020-04-16 18:00,20.1,,4.5,320,33,1004
108,서울,2020-04-16 19:00,17.9,,3.6,270,35,1004.5
108,서울,2020-04-16 20:00,16.7,,1.9,270,39,1005
108,서울,2020-04-16 21:00,16,,1,270,41,1005.9
108,서울,2020-04-16 22:00,15.5,,.9,290,43,1006
108,서울,2020-04-16 23:00,15.2,,.4,0,43,1006.1
108,서울,2020-04-17 00:00,14.6,,2.1,90,45,1005.9
108,서울,2020-04-17 01:00,14.6,,1.5,90,45,1006.1
108,서울,2020-04-17 02:00,15.3,0,2.3,180,48,1006.1
108,서울,2020-04-17 03:00,14.5,0,3.7,90,55,1004.1
108,서울,2020-04-17 04:00,14.2,,3.3,140,53,1004.2
108,서울,2020-04-17 05:00,13.7,0,2.3,110,55,1003.4
108,서울,2020-04-17 06:00,13.4,0,4,160,60,1004.3
108,서울,2020-04-17 07:00,12.3,.3,2.2,160,68,1004.7
108,서울,2020-04-17 08:00,11.4,.3,3.4,160,73,1005
108,서울,2020-04-17 09:00,10.9,.3,3.4,110,82,1004.1
108,서울,2020-04-17 10:00,10.4,.3,2.5,110,85,1003.6
108,서울,2020-04-17 11:00,10.8,,2.2,110,81,1003
108,서울,2020-04-17 12:00,11.8,0,2.4,140,78,1002
108,서울,2020-04-17 13:00,11.9,.7,1.9,140,83,1001.7
108,서울,2020-04-17 14:00,12.1,3.2,1.5,140,88,1001.5
108,서울,2020-04-17 15:00,13,1.4,1.3,70,88,1000.9
108,서울,2020-04-17 16:00,13.3,0,2.6,320,85,1000.7
108,서울,2020-04-17 17:00,13.7,,3.3,320,85,1000.6
108,서울,2020-04-17 18:00,13.8,,2.3,320,80,1000.3
108,서울,2020-04-17 19:00,12.8,,1.3,20,81,1000.2
108,서울,2020-04-17 20:00,11.9,,1.7,50,85,1000.5
108,서울,2020-04-17 21:00,11.5,,1,20,87,1000.9
108,서울,2020-04-17 22:00,11.5,,1.5,290,90,1000.9
108,서울,2020-04-17 23:00,11.1,,2.1,290,93,1001
108,서울,2020-04-18 00:00,11.1,,1.8,290,92,1001.3
108,서울,2020-04-18 01:00,10.8,,2.4,290,93,1001.6
108,서울,2020-04-18 02:00,10.4,,2.8,290,93,1001.7
108,서울,2020-04-18 03:00,10.1,,3.8,340,93,1002.3
108,서울,2020-04-18 04:00,9.5,,3.1,320,90,1002.7
108,서울,2020-04-18 05:00,9.3,,3.1,320,87,1003.3
108,서울,2020-04-18 06:00,8.8,,2.7,320,88,1003.9
108,서울,2020-04-18 07:00,8.5,,1,320,85,1004.8
108,서울,2020-04-18 08:00,9.9,,1.6,290,77,1005.5
